D1,1.4300,1.4300,1.4300,1.4300,1.2600,1.0000,1.5500
D2,0.3700,0.3700,0.3700,0.3700,0.2700,0.3400,0.2700
A1,0.0079,0.0084,0.0089,0.0088,0.0025,0.0054,0.0010
A2,0.0605,0.0741,0.0862,0.0852,0.0200,0.1300,0.0286
S1-->2,0.0195,0.0185,0.0178,0.0188,0.0294,0.0009,0.0450
NF1,0.0034,0.0054,0.0054,0.0062,0.0000,0.0000,0.0000
NF2,0.0711,0.1000,0.1000,0.1249,0.0000,0.0000,0.0000
